Bin_start_um,Bin_end_um,Count
0.6337,0.8633,6606
0.8633,1.0929,2483
1.0929,1.3225,1542
1.3225,1.5521,900
1.5521,1.7817,653
1.7817,2.0113,438
2.0113,2.2409,310
2.2409,2.4705,219
2.4705,2.7001,147
2.7001,2.9297,112
2.9297,3.1593,82
3.1593,3.3889,68
3.3889,3.6185,42
3.6185,3.8481,23
3.8481,4.0777,17
4.0777,4.3073,16
4.3073,4.5369,14
4.5369,4.7665,10
4.7665,4.9961,3
4.9961,5.2258,4
5.2258,5.4554,3
5.4554,5.6850,0
5.6850,5.9146,3
5.9146,6.1442,1
6.1442,6.3738,2
6.3738,6.6034,0
6.6034,6.8330,2
6.8330,7.0626,1
7.0626,7.2922,0
7.2922,7.5218,1
7.5218,7.7514,1
7.7514,7.9810,0
7.9810,8.2106,0
8.2106,8.4402,0
8.4402,8.6698,0
8.6698,8.8994,1
